,avg_temp,year,Lat,Long,city
0,7.6,2000-01-31,35.6839,139.7744,Tokyo
1,6.0,2000-02-29,35.6839,139.7744,Tokyo
2,9.4,2000-03-31,35.6839,139.7744,Tokyo
3,14.5,2000-04-30,35.6839,139.7744,Tokyo
4,19.8,2000-05-31,35.6839,139.7744,Tokyo
5,22.5,2000-06-30,35.6839,139.7744,Tokyo
6,27.7,2000-07-31,35.6839,139.7744,Tokyo
7,28.3,2000-08-31,35.6839,139.7744,Tokyo
8,25.6,2000-09-30,35.6839,139.7744,Tokyo
9,18.8,2000-10-31,35.6839,139.7744,Tokyo
10,13.3,2000-11-30,35.6839,139.7744,Tokyo
11,8.8,2000-12-31,35.6839,139.7744,Tokyo
12,4.9,2001-01-31,35.6839,139.7744,Tokyo
13,6.6,2001-02-28,35.6839,139.7744,Tokyo
14,9.8,2001-03-31,35.6839,139.7744,Tokyo
15,15.7,2001-04-30,35.6839,139.7744,Tokyo
16,19.5,2001-05-31,35.6839,139.7744,Tokyo
17,23.1,2001-06-30,35.6839,139.7744,Tokyo
18,28.5,2001-07-31,35.6839,139.7744,Tokyo
19,26.4,2001-08-31,35.6839,139.7744,Tokyo
20,23.2,2001-09-30,35.6839,139.7744,Tokyo
21,18.7,2001-10-31,35.6839,139.7744,Tokyo
22,13.1,2001-11-30,35.6839,139.7744,Tokyo
23,8.4,2001-12-31,35.6839,139.7744,Tokyo
24,7.4,2002-01-31,35.6839,139.7744,Tokyo
25,7.9,2002-02-28,35.6839,139.7744,Tokyo
26,12.2,2002-03-31,35.6839,139.7744,Tokyo
27,16.1,2002-04-30,35.6839,139.7744,Tokyo
28,18.4,2002-05-31,35.6839,139.7744,Tokyo
29,21.6,2002-06-30,35.6839,139.7744,Tokyo
30,28.0,2002-07-31,35.6839,139.7744,Tokyo
31,28.0,2002-08-31,35.6839,139.7744,Tokyo
32,23.1,2002-09-30,35.6839,139.7744,Tokyo
33,19.0,2002-10-31,35.6839,139.7744,Tokyo
34,11.6,2002-11-30,35.6839,139.7744,Tokyo
35,7.2,2002-12-31,35.6839,139.7744,Tokyo
36,5.5,2003-01-31,35.6839,139.7744,Tokyo
37,6.4,2003-02-28,35.6839,139.7744,Tokyo
38,8.7,2003-03-31,35.6839,139.7744,Tokyo
39,15.1,2003-04-30,35.6839,139.7744,Tokyo
40,18.8,2003-05-31,35.6839,139.7744,Tokyo
41,23.2,2003-06-30,35.6839,139.7744,Tokyo
42,22.8,2003-07-31,35.6839,139.7744,Tokyo
43,26.0,2003-08-31,35.6839,139.7744,Tokyo
44,24.2,2003-09-30,35.6839,139.7744,Tokyo
45,17.8,2003-10-31,35.6839,139.7744,Tokyo
46,14.4,2003-11-30,35.6839,139.7744,Tokyo
47,9.2,2003-12-31,35.6839,139.7744,Tokyo
48,6.3,2004-01-31,35.6839,139.7744,Tokyo
49,8.5,2004-02-29,35.6839,139.7744,Tokyo
50,9.8,2004-03-31,35.6839,139.7744,Tokyo
51,16.4,2004-04-30,35.6839,139.7744,Tokyo
52,19.6,2004-05-31,35.6839,139.7744,Tokyo
53,23.7,2004-06-30,35.6839,139.7744,Tokyo
54,28.5,2004-07-31,35.6839,139.7744,Tokyo
55,27.2,2004-08-31,35.6839,139.7744,Tokyo
56,25.1,2004-09-30,35.6839,139.7744,Tokyo
57,17.5,2004-10-31,35.6839,139.7744,Tokyo
58,15.6,2004-11-30,35.6839,139.7744,Tokyo
59,9.9,2004-12-31,35.6839,139.7744,Tokyo
60,6.1,2005-01-31,35.6839,139.7744,Tokyo
61,6.2,2005-02-28,35.6839,139.7744,Tokyo
62,9.0,2005-03-31,35.6839,139.7744,Tokyo
63,15.1,2005-04-30,35.6839,139.7744,Tokyo
64,17.7,2005-05-31,35.6839,139.7744,Tokyo
65,23.2,2005-06-30,35.6839,139.7744,Tokyo
66,25.6,2005-07-31,35.6839,139.7744,Tokyo
67,28.1,2005-08-31,35.6839,139.7744,Tokyo
68,24.7,2005-09-30,35.6839,139.7744,Tokyo
69,19.2,2005-10-31,35.6839,139.7744,Tokyo
70,13.3,2005-11-30,35.6839,139.7744,Tokyo
71,6.4,2005-12-31,35.6839,139.7744,Tokyo
72,5.1,2006-01-31,35.6839,139.7744,Tokyo
73,6.7,2006-02-28,35.6839,139.7744,Tokyo
74,9.8,2006-03-31,35.6839,139.7744,Tokyo
75,13.6,2006-04-30,35.6839,139.7744,Tokyo
76,19.0,2006-05-31,35.6839,139.7744,Tokyo
77,22.5,2006-06-30,35.6839,139.7744,Tokyo
78,25.6,2006-07-31,35.6839,139.7744,Tokyo
79,27.5,2006-08-31,35.6839,139.7744,Tokyo
80,23.5,2006-09-30,35.6839,139.7744,Tokyo
81,19.5,2006-10-31,35.6839,139.7744,Tokyo
82,14.4,2006-11-30,35.6839,139.7744,Tokyo
83,9.5,2006-12-31,35.6839,139.7744,Tokyo
84,7.6,2007-01-31,35.6839,139.7744,Tokyo
85,8.6,2007-02-28,35.6839,139.7744,Tokyo
86,10.8,2007-03-31,35.6839,139.7744,Tokyo
87,13.7,2007-04-30,35.6839,139.7744,Tokyo
88,19.8,2007-05-31,35.6839,139.7744,Tokyo
89,23.2,2007-06-30,35.6839,139.7744,Tokyo
90,24.4,2007-07-31,35.6839,139.7744,Tokyo
91,29.0,2007-08-31,35.6839,139.7744,Tokyo
92,25.2,2007-09-30,35.6839,139.7744,Tokyo
93,19.0,2007-10-31,35.6839,139.7744,Tokyo
94,13.3,2007-11-30,35.6839,139.7744,Tokyo
95,9.0,2007-12-31,35.6839,139.7744,Tokyo
96,5.9,2008-01-31,35.6839,139.7744,Tokyo
97,5.5,2008-02-29,35.6839,139.7744,Tokyo
98,10.7,2008-03-31,35.6839,139.7744,Tokyo
99,14.7,2008-04-30,35.6839,139.7744,Tokyo
100,18.5,2008-05-31,35.6839,139.7744,Tokyo
101,21.3,2008-06-30,35.6839,139.7744,Tokyo
102,27.0,2008-07-31,35.6839,139.7744,Tokyo
103,26.8,2008-08-31,35.6839,139.7744,Tokyo
104,24.4,2008-09-30,35.6839,139.7744,Tokyo
105,19.4,2008-10-31,35.6839,139.7744,Tokyo
106,13.1,2008-11-30,35.6839,139.7744,Tokyo
107,9.8,2008-12-31,35.6839,139.7744,Tokyo
108,6.8,2009-01-31,35.6839,139.7744,Tokyo
109,7.8,2009-02-28,35.6839,139.7744,Tokyo
110,10.0,2009-03-31,35.6839,139.7744,Tokyo
111,15.7,2009-04-30,35.6839,139.7744,Tokyo
112,20.1,2009-05-31,35.6839,139.7744,Tokyo
113,22.5,2009-06-30,35.6839,139.7744,Tokyo
114,26.3,2009-07-31,35.6839,139.7744,Tokyo
115,26.6,2009-08-31,35.6839,139.7744,Tokyo
116,23.0,2009-09-30,35.6839,139.7744,Tokyo
117,19.0,2009-10-31,35.6839,139.7744,Tokyo
118,13.5,2009-11-30,35.6839,139.7744,Tokyo
119,9.0,2009-12-31,35.6839,139.7744,Tokyo
120,7.0,2010-01-31,35.6839,139.7744,Tokyo
121,6.5,2010-02-28,35.6839,139.7744,Tokyo
122,9.1,2010-03-31,35.6839,139.7744,Tokyo
123,12.4,2010-04-30,35.6839,139.7744,Tokyo
124,19.0,2010-05-31,35.6839,139.7744,Tokyo
125,23.6,2010-06-30,35.6839,139.7744,Tokyo
126,28.0,2010-07-31,35.6839,139.7744,Tokyo
127,29.6,2010-08-31,35.6839,139.7744,Tokyo
128,25.1,2010-09-30,35.6839,139.7744,Tokyo
129,18.9,2010-10-31,35.6839,139.7744,Tokyo
130,13.5,2010-11-30,35.6839,139.7744,Tokyo
131,9.9,2010-12-31,35.6839,139.7744,Tokyo
132,5.1,2011-01-31,35.6839,139.7744,Tokyo
133,7.0,2011-02-28,35.6839,139.7744,Tokyo
134,8.1,2011-03-31,35.6839,139.7744,Tokyo
135,14.5,2011-04-30,35.6839,139.7744,Tokyo
136,18.5,2011-05-31,35.6839,139.7744,Tokyo
137,22.8,2011-06-30,35.6839,139.7744,Tokyo
138,27.3,2011-07-31,35.6839,139.7744,Tokyo
139,27.5,2011-08-31,35.6839,139.7744,Tokyo
140,25.1,2011-09-30,35.6839,139.7744,Tokyo
141,19.5,2011-10-31,35.6839,139.7744,Tokyo
142,14.9,2011-11-30,35.6839,139.7744,Tokyo
143,7.5,2011-12-31,35.6839,139.7744,Tokyo
144,4.8,2012-01-31,35.6839,139.7744,Tokyo
145,5.4,2012-02-29,35.6839,139.7744,Tokyo
146,8.8,2012-03-31,35.6839,139.7744,Tokyo
147,14.5,2012-04-30,35.6839,139.7744,Tokyo
148,19.6,2012-05-31,35.6839,139.7744,Tokyo
149,21.4,2012-06-30,35.6839,139.7744,Tokyo
150,26.4,2012-07-31,35.6839,139.7744,Tokyo
